gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
BRD4,19.337883,0.90912205,2.5784565252236827e-83,2.0720337260669123e-81
MBP,19.306786,1.7984418,4.70993208749286e-83,3.7443960095568234e-81
NFE2L3,19.262022,1.8655454,1.1192079009680349e-82,8.873975605195354e-81
HLA-DQA1,19.258797,3.4162412,1.1911491536286164e-82,9.419265368308417e-81
STRAP,19.247314,0.7483099,1.486727198012964e-82,1.1725426996954762e-80
KARS,19.229149,1.2032619,2.110669091731016e-82,1.6602255054084208e-80
PPP3CA,19.187141,1.3458668,4.740120637753015e-82,3.679843522775728e-80
NIP7,19.181067,1.3963914,5.327537648747962e-82,4.125095752870395e-80
DCUN1D5,19.112892,0.8804389,1.9722555076655749e-81,1.5231447534914427e-79
PSAT1,19.107687,2.3307374,2.1791886694938807e-81,1.678596287825429e-79
OGFRL1,19.062294,1.9880224,5.194583974840344e-81,3.9909706802048566e-79
CCDC91,19.034893,1.0534463,8.767131097614838e-81,6.701108198595937e-79
SAA2,19.026701,4.7567,1.0250690654358909e-80,7.814968851950088e-79
GLRX3,19.022455,0.85284334,1.1115494431495592e-80,8.452608591602518e-79
EPS8,19.020636,1.6241692,1.150812848709777e-80,8.728856742522397e-79
SERPINB5,19.000395,3.2447574,1.692637925540067e-80,1.2805904183227178e-78
LEMD1,18.936214,5.7649584,5.737769383486183e-80,4.31901511592898e-78
BAZ1B,18.914333,0.85752237,8.691216180971808e-80,6.509217398207425e-78
BAZ1A,18.850779,0.8592104,2.8955165572599506e-79,2.1362876872707223e-77
LARP6,18.847624,2.1931214,3.073402048238665e-79,2.261917403472283e-77
TNFRSF11B,18.819654,3.0353084,5.212301589472731e-79,3.826601559501055e-77
KLK6,18.814957,6.113424,5.695499811003297e-79,4.171041770457169e-77
TPT1-AS1,18.767378,1.9016969,1.3961050268850925e-78,1.0199113209920013e-76
PSMB8,18.75951,0.9071257,1.618871228413863e-78,1.1797524077066026e-76
SDCBP,18.757595,0.79108775,1.678238161145649e-78,1.2200258006196474e-76
UBE2E3,18.754244,0.89219016,1.7874226021203602e-78,1.2930763072711599e-76
ID1,18.692211,2.7126899,5.728808974664003e-78,4.1143641846300675e-76
EML4,18.684393,0.87672824,6.632957684573571e-78,4.752234477962072e-76
C6orf15,18.651525,7.4901066,1.2272414268937905e-77,8.771531092748334e-76
BBX,18.616018,0.80005336,2.382843569611258e-77,1.6990188934113078e-75
ANP32E,18.59746,1.0273441,3.3690385640834116e-77,2.3964503259782795e-75
GADD45A,18.596582,1.2300385,3.4245813107316767e-77,2.430145014605846e-75
MTMR2,18.58961,1.8227997,3.900105586902161e-77,2.7609961765562373e-75
SPTBN1,18.531775,1.0151181,1.1445032558857325e-76,8.063866186552247e-75
GGH,18.530087,1.3336127,1.1809552532461924e-76,8.301026606328377e-75
GLS,18.476292,1.7068647,3.204686804886331e-76,2.2314977229434494e-74
LIMS1,18.475458,0.8933824,3.2545534317972716e-76,2.2609261025146794e-74
PNRC1,18.439892,0.65280974,6.28668673469768e-76,4.347024574017816e-74
CCT4,18.40861,0.6585229,1.1206188959114167e-75,7.730710355483561e-74
IPO5,18.385878,1.1301744,1.7045618884216809e-75,1.167781996047047e-73
