gene,spearman_r,pval
AGR2,0.16902148512917148,2.297603825269122e-156
FBP1,0.17081391309037838,1.050725880296862e-159
KRT14,0.17180510650100034,1.4408819420740616e-161
C17orf89,0.1728368033797376,1.612610147783879e-163
IFIT1,0.17296036777416268,9.397679528361366e-164
AMN,0.1732420457973921,2.740121336134913e-164
AKR7A3,0.17438301002692924,1.8207250413532926e-166
XAGE5,0.17512958836477852,6.717396942863104e-168
SCUBE2,0.17701906609192095,1.4837312606758496e-171
MGP,0.17790821182465352,2.7326205871501413e-173
CXCL17,0.17803056100593695,1.5745117855113573e-173
XDH,0.1785618249232942,1.4303749535213279e-174
SPON1,0.18027197125985212,6.022702945996492e-178
RP11-462G2.1,0.1805568065942688,1.6376745564874276e-178
CALB2,0.1811005204945385,1.3551860259914842e-179
PSCA,0.1828113089340764,5.06004497336631e-183
GADD45G,0.18316784871872055,9.670308644159666e-184
TMEM213,0.18516322536728763,8.620928721457663e-188
STARD10,0.186035259759004,1.415530119118881e-189
ISLR,0.1873320495529799,3.0229242173828505e-192
FBP2,0.18858251080396413,7.700705753705895e-195
SMOC2,0.18950576496945953,9.109811352745294e-197
TMEM211,0.19160145598334286,3.5310060069246636e-201
RP11-54H7.4,0.19168286191893233,2.3740011926461953e-201
NDRG2,0.19412840074950627,1.442527322940651e-206
KLK10,0.1943931742906982,3.891272559417258e-207
MIA,0.19444651295666976,2.9878512539855763e-207
TRH,0.19484037656723033,4.2374093421596564e-208
AQP3,0.19495776335959797,2.3655308887151055e-208
PIGR,0.19765940138112206,3.1753682584516595e-214
EPCAM,0.19868189576521986,1.805542035761751e-216
TMEM105,0.199660683604223,1.2464290779746937e-218
HULC,0.20020674627610757,7.67532933260563e-220
TIMP1,0.2006157885160291,9.4611850105008e-221
MMP7,0.2008906677324983,2.3113281888631375e-221
FDCSP,0.20102253396481257,1.1746492903140035e-221
HIST1H2BD,0.20179505699442404,2.2060811123415755e-223
HLA-DQA2,0.20359393901603678,1.977059635779977e-227
TSPAN13,0.20362911206364234,1.6462278565104606e-227
SLC26A3,0.20428108629483835,5.4904961847717984e-229
JCHAIN,0.20502334658104004,1.1271356505797963e-230
MLLT4,0.2050750996905063,8.591326685896936e-231
PLCXD3,0.2051048276347555,7.350426065482459e-231
CAPS,0.20585120845955507,1.4516822480802856e-232
PIP,0.20615922513461254,2.8610235936166506e-233
TACSTD2,0.2068876311140084,6.0803593682653286e-235
HORMAD1,0.2098702011172927,7.383327729862012e-242
PTPRZ1,0.20988459222178818,6.8331675395611346e-242
ZG16B,0.21059990711097223,1.4449671428898817e-243
KCNJ3,0.2111140781094088,8.957582708975593e-245
HLA-DRB5,0.2119688741908609,8.656847422518316e-247
LINC01235,0.21323235825212453,8.768426592326759e-250
AZGP1,0.2134626872921231,2.4828395783008913e-250
ANKRD30A,0.21353631993473562,1.658187574733181e-250
OVOS2,0.21427281033835277,2.900368818614946e-252
SCGB2A1,0.21531962761992243,8.984023889261156e-255
AQP1,0.21696991618704925,9.351644188091037e-259
IGLC2,0.21731331059927075,1.3740241951801813e-259
IGLC3,0.2174971293307109,4.9153356844068245e-260
LCN2,0.21815180880890123,1.2536160071333981e-261
HPD,0.21830995441996026,5.157912042805422e-262
HLA-DQB1,0.21885162899405883,2.4495907717968908e-263
HLA-DQA1,0.21999760555021083,3.7795819431257e-266
AQP5,0.22081154403115874,3.7208004340506384e-268
SCGB1D2,0.2209732870241085,1.482105418893024e-268
AC005152.3,0.2237596315376969,1.7124036658277974e-275
XBP1,0.22716228509812555,4.281858355806244e-284
KRT6B,0.22778065627147423,1.129667417111892e-285
MAL2,0.22879244847836175,2.8815095393864535e-288
HLA-DPA1,0.23160371882321676,1.5383559865102806e-295
KLK5,0.23286149012783386,7.967411766421118e-299
SCGB2A2,0.2330787250212086,2.146929620559159e-299
LINC00993,0.23314831433889116,1.4101280501989318e-299
C1orf64,0.2352463213293959,4.1387341201714385e-305
GRIA2,0.236127077174632,1.896090086814087e-307
IGKC,0.23824685134599002,0.0
GPRC5A,0.2383380288017192,0.0
