gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
SLC16A9,2.7551744,1.2674832,0.005866084932456136,0.02136407438715315
GPR12,2.7540472,4.2998834,0.005886327841895605,0.021435172776862466
IL6,2.7539167,3.5253212,0.005888672915788214,0.021441086432173764
GXYLT1,2.7536995,-0.08182643,0.005892583243623937,0.021450070712863676
CLEC4F,2.7536995,4.399788,0.005892583243623937,0.021450070712863676
PNPLA3,2.7536383,0.42201072,0.0058936877598088876,0.021451465070681557
LINC00460,2.7526414,3.659486,0.005911662320280777,0.0215133005253534
EARS2,2.7526157,-0.1289265,0.00591212385540183,0.0215133005253534
C8orf76,2.7509415,-0.22411463,0.005942425224937058,0.0216209164479997
DCUN1D3,2.7499855,0.1971176,0.005959789779279165,0.021678790005787547
LATS1,2.748365,-0.07104791,0.005989330426835639,0.021780915066182002
TBL1X,2.747621,0.316062,0.006002933426577105,0.02182504519105124
DNAJC25-GNG10,2.746522,-0.023063837,0.0060230850380441165,0.021890280825836172
DIP2C,2.7462869,0.2987083,0.006027404452250424,0.021903301952916385
NDUFV1,2.7455506,0.07931879,0.006040944144492733,0.021947139815274002
FBXO45,2.7447557,-0.08232266,0.006055595895665948,0.02199499545148249
BCCIP,2.744403,0.010778081,0.006062107563614162,0.022015957516665432
PARP16,2.7443264,0.096644886,0.006063523977971955,0.022018412119814378
AKR1E2,2.7434955,0.4600643,0.006078887586217008,0.02206881130659222
TRIB3,2.7430992,0.047512617,0.00608622718748544,0.022092759487914122
ELMO1,2.74245,1.2794733,0.0060982719220480115,0.02213377918191571
AASS,2.7423632,1.0428988,0.006099885837590931,0.022136934652641417
IL13RA2,2.7410595,5.7451663,0.006124140778829241,0.022219533590839516
DNAJB4,2.739981,0.2710414,0.006144276187464694,0.022289868702036083
PABPC1L,2.739889,0.170097,0.0061459966569277135,0.022293390093989472
TSC1,2.739825,0.1642587,0.006147191682625272,0.0222950049157718
NAPEPLD,2.7373047,-0.06902972,0.006194490690775273,0.02246107215961234
AC159540.1,2.7359934,0.45399395,0.006219228982224518,0.022542525335667633
PEMT,2.7355561,-0.06319928,0.006227494824057094,0.022569734715223014
ZNF689,2.733307,0.0531361,0.006270189112501891,0.022718929183770258
MMP9,2.733064,1.8545896,0.006274813876812556,0.022732915925340286
ZNF609,2.7322333,0.013943851,0.006290658668734106,0.02278476723077977
RP11-20I23.6,2.731942,1.650204,0.006296225060299176,0.022802151000959246
ATAT1,2.7318983,-0.053988546,0.006297055515986286,0.02280238115416152
KCNJ14,2.7311673,0.9912941,0.006311041501165627,0.022850243175128786
WBP1L,2.7287493,-0.03449515,0.006357502243659978,0.02301285782940615
ZNF197,2.7281895,0.14589944,0.006368301734832124,0.02304914369832788
PCNA,2.7274916,-0.03134085,0.006381787229128752,0.023092330495763074
LYPD5,2.7271132,0.6668696,0.006389108783157422,0.023116010154492533
CCDC144NL-AS1,2.725963,0.7978496,0.006411416716297804,0.023193898676929385
STX3,2.7257688,-0.027211891,0.006415191188243209,0.0232047298783498
ARMC5,2.7250097,0.03409037,0.0064299606076348905,0.023255324017371147
PARD6A,2.7247667,0.07341107,0.006434691286398727,0.02326960301854699
PGAM5,2.7240894,0.059858177,0.006447903945011006,0.023314547974828192
PRDM2,2.7238007,-0.07576836,0.006453545441254084,0.023332109266148794
NRG1,2.7234888,8.192553,0.006459641245022154,0.02335130858823632
TAF8,2.7230363,-0.033803303,0.006468494366314118,0.02338046960778236
FBXL3,2.722947,-0.10183302,0.006470246275558093,0.023383959221000217
ZNF335,2.7225277,0.036351964,0.006478460908903876,0.023410801920811734
HAUS4,2.7218375,-0.053854443,0.006492005439493585,0.02345689606664999
MTX3,2.7215922,0.27156565,0.006496827407704735,0.023471466502221733
