gene_symbol,ig_mean,n_cells,ig_rank
SERPINH1,0.011810202794593005,21,424
TALDO1,0.011805172815608481,24,425
NHP2,0.011748943455694686,42,426
FKBP2,0.011691376678010618,22,427
GAS2L1,0.011686613192208685,13,428
GPX1,0.011676302098709604,46,429
DAPK3,0.011674929514992983,10,430
EIF1,0.01167225648338596,15,431
KRT8,0.011621477684694464,46,432
PEG10,0.011619833210716024,12,433
CYP4X1,0.011609187279827893,10,434
CRYAB,0.011600881415818418,21,435
IRF2BP2,0.011549490629337154,26,436
NOP16,0.01154422148829326,12,437
PNPLA2,0.011544020019324594,19,438
RPS8,0.011502370298004303,78,439
STAU1,0.011488189678639174,25,440
THOC7,0.011462468723766505,10,441
NUCB2,0.011424920366456112,27,442
SLC12A2,0.011420314371781913,19,443
ASPH,0.011373514519425842,33,444
UQCRB,0.011330737147797296,47,445
RPL37A,0.011327991175443627,43,446
RBP1,0.011327141721267253,10,447
BICDL2,0.011295115216635168,25,448
KRT19,0.011275003376303593,74,449
PMEPA1,0.011261045394348912,32,450
SF3B2,0.01123815972317496,23,451
LMTK3,0.011229431227548048,14,452
LGALS3BP,0.011227278717948744,12,453
GDE1,0.011184944612129282,15,454
RPL38,0.011177453809068538,32,455
S100A16,0.01116895010983128,42,456
TOMM5,0.011163938573251169,15,457
FUNDC2,0.011137989201498303,11,458
COX7B,0.011134077198221348,24,459
NOP10,0.011126787558896466,10,460
CCDC86,0.011104625673033297,10,461
ATF4,0.011086649703793227,20,462
RPSA,0.011054983118367268,41,463
GPS1,0.011051760901781645,11,464
TPD52,0.011047035516974958,19,465
NDUFS4,0.011003887790138833,12,466
ATG5,0.01099059033440426,30,467
SELENOP,0.010984550404828042,16,468
SBDS,0.010971085696170727,15,469
MT-CO2,0.01096052942577646,108,470
ZG16B,0.010942587052905482,29,471
NPDC1,0.010920883943874608,17,472
KRT6B,0.010899349379663666,15,473
TUBB3,0.01089057173918594,11,474
WDR43,0.010890164831653237,10,475
RPL31,0.010879828725151267,33,476
CYCS,0.0108241357449244,47,477
ACTR2,0.010818883607333357,11,478
RPL30,0.010817103847541441,99,479
SPCS2,0.010801751728815196,44,480
SLC1A5,0.010795075632631778,15,481
SERF2,0.010760028997125725,75,482
SRP9,0.01075298323731629,62,483
PPIB,0.010748882106002253,56,484
NPM3,0.01074028373337709,13,485
GLRX3,0.010738343091519631,23,486
PTMS,0.010736645537246837,41,487
SNRPB,0.010730315198156017,27,488
UBE2J2,0.010723365176818333,10,489
EIF3J,0.0107175405243073,11,490
ANKRD54,0.010712994584956994,13,491
RCN1,0.010689787546415691,23,492
ATF5,0.01065277280709283,11,493
CNIH4,0.010651895985938608,35,494
NDUFA2,0.01063603192398494,11,495
ARF1,0.010622444572885904,68,496
RARRES1,0.010616685821739164,47,497
H3-3B,0.010589804157709957,44,498
SDC4,0.010581342185932126,22,499
SH3BGRL,0.010577796155121177,15,500
SERTAD4,0.010577437172677102,21,501
CBX3,0.010570780137855122,34,502
H2AX,0.010556847545861578,12,503
IDH2,0.01054685873289903,36,504
UQCRFS1,0.0105461606016273,17,505
SPDEF,0.010533615322360261,44,506
VCF2,0.010533282242249697,12,507
TCIM,0.010529598179605923,14,508
MYH9,0.01051289438813304,12,509
SRP72,0.010504879309640577,12,510
TSPO,0.010492199582272562,58,511
UBALD1,0.010484235009733731,13,512
YBX3,0.010483193839900196,20,513
COPG1,0.01047605441205881,11,514
EPHX1,0.010470289585646242,10,515
MT-ATP8,0.010441593578041255,74,516
MTRES1,0.01043985801822457,19,517
CLDN7,0.010398808977611008,21,518
TM4SF1,0.010398302539741914,38,519
MRPL12,0.010385570367798209,25,520
C19orf53,0.010383697324967314,37,521
APEX1,0.010363505408167838,10,522
RACK1,0.010354640916274447,36,523
MAGOHB,0.010332966589235834,14,524
NUCKS1,0.010332607309288916,62,525
NME2,0.010327072669973686,21,526
SRI,0.01031228878305339,41,527
PPIA,0.01030962108640292,99,528
ATP5MJ,0.010294892319227355,26,529
HADHA,0.010285227976661796,12,530
LSM3,0.010283515292771713,27,531
PARP1,0.010235365200060187,32,532
CCND1,0.01022429786124185,57,533
RPL11,0.010204765707888502,47,534
GOLGA5,0.010190729866735637,11,535
SMIM14,0.010181171505246311,20,536
NDUFAF3,0.010133339943805416,19,537
SERTAD1,0.01012921073523007,19,538
MRPS24,0.010123213329775766,11,539
SNRNP40,0.010096920056429762,13,540
PNKD,0.010095651559822727,16,541
RTN4,0.010083178655268291,39,542
SSNA1,0.010081649984515804,14,543
GNG5,0.010075511246395764,40,544
SND1,0.010068640327797486,13,545
IFRD2,0.010045499354115842,12,546
FIS1,0.010034323395302636,32,547
HNRNPF,0.010012935918395317,31,548
PPP4C,0.009993153873365372,25,549
MRPL51,0.009982804935134482,48,550
RBM39,0.009950632803208594,14,551
SNRPD1,0.009944321837759128,27,552
CD151,0.009940601883162916,54,553
ENAH,0.009936407227069139,25,554
MAP3K8,0.009916598836962994,13,555
TIMM23,0.009916026856646769,18,556
RPL12,0.00991560667171143,48,557
ATP6V0C,0.009891505391957859,24,558
RPS15A,0.009889120480775919,44,559
C14orf119,0.009872783994069323,10,560
NOL3,0.009869263581508263,11,561
GID8,0.009844400074430987,19,562
DEGS2,0.009831845630995102,27,563
CLPTM1,0.00982568580989859,14,564
LAPTM4A,0.009812930902828358,36,565
RPL19,0.009805689226803287,57,566
MT-CYB,0.009802638628819048,88,567
SSR3,0.009801510943446395,43,568
RPL18A,0.009795835232720353,78,569
S100A6,0.009792316891908856,71,570
EEF1A1,0.009777648691741022,82,571
FASN,0.00976510652496169,21,572
DERL2,0.009760737471515313,10,573
UCHL1,0.00975777325220406,13,574
TUBB,0.009748538355490872,63,575
DYNLT1,0.009745103633031249,30,576
HERPUD1,0.009744830538208286,30,577
CCDC85B,0.009739192837679928,11,578
NFIB,0.009733617090835022,13,579
SPTSSA,0.00972424574662,50,580
TPT1,0.009715868842913694,63,581
FKBP1A,0.0097148816450499,30,582
RND3,0.009710703324526549,10,583
TPM1,0.009703165419670123,31,584
TOMM7,0.00969356343439604,37,585
IRS2,0.009691957469013605,11,586
NUBP2,0.009682779528454623,11,587
PEMT,0.00966251710196957,10,588
PGAM1,0.009662115412841862,24,589
COMMD6,0.009632563909100418,37,590
MMADHC,0.009571877971757204,25,591
SSR1,0.009552610999283692,12,592
SMC4,0.009549838677048682,10,593
OST4,0.009534514724062039,26,594
ARF4,0.00953119854006837,47,595
TMA7,0.00952903962849329,15,596
PRDX6,0.009523945768311058,53,597
HLA-C,0.009523920449909979,29,598
PIN1,0.009521161936308172,11,599
NUCLEOLIN,0.009519524675292464,52,600
MT-CO3,0.009518623760769791,92,601
RPL4,0.009516068963303922,62,602
SQSTM1,0.009480177728540224,46,603
TRIR,0.00946940179980759,35,604
SIVA1,0.009447813453765488,38,605
ZNHIT1,0.009404110126423702,36,606
ILF3,0.009402112806371102,15,607
RPA3,0.009387098354636692,16,608
NDUFA6,0.009376677822067657,11,609
SF1,0.009375500775474523,14,610
POP7,0.009361730961245485,20,611
MT-ND2,0.009360010092875556,69,612
TUBA1C,0.009356819782018041,24,613
RPS26,0.009343195834662765,40,614
TUSC2,0.00932173642407482,12,615
RPS19BP1,0.009319007499327295,19,616
CRACR2B,0.009300790430078733,29,617
DDX21,0.00929049402475357,27,618
FAM204A,0.0092735689608022,13,619
SMIM26,0.009268240733945277,16,620
MRPL55,0.009244455892864304,18,621
PAICS,0.009230249704649815,13,622
DDRGK1,0.009222666321875295,16,623
CHI3L1,0.009199587840703316,15,624
PSMF1,0.009195573291175865,14,625
BRD2,0.009194821891061768,29,626
ERGIC3,0.009184302016644953,52,627
RPL28,0.009182664432695933,63,628
SLC27A5,0.009180198924150318,10,629
HNRNPAB,0.009170398631665324,14,630
MPC2,0.009165640350203124,49,631
RPS21,0.009152741252557573,66,632
RSU1,0.00914471020671324,13,633
MDH2,0.009134591928657705,73,634
FHL2,0.009127867796147862,12,635
RBM3,0.009106634381873112,31,636
P4HB,0.00910397563397104,74,637
PSME2,0.009102384887889704,22,638
EDF1,0.009101374633610248,20,639
TRMT112,0.009096603312562885,28,640
HOMER3,0.009086185452443633,11,641
RPS3,0.009080232630722315,82,642
SNRPG,0.009072744714917223,38,643
CAST,0.009072178974747658,10,644
DENR,0.009059475641697646,10,645
FLNB,0.009056072193197906,10,646
MRPS30,0.00903415431877455,13,647
SRSF7,0.009016582579351961,15,648
MESP1,0.008982164681785636,18,649
